VisitID,UserID,SessionID,PageURL,ReferrerURL,Timestamp,Country,Browser,OperatingSystem,DeviceType,PageLoadTime,PageResponseTime,Clicks,SessionDuration,PageViews,Conversion,BounceRate,CampaignSource,AdClicks,Revenue
1,134,41886,http://www.dalton-wilson.com/,https://young-smith.net/,2024-07-18 22:23:07,Seychelles,Chrome,Linux,Tablet,9.33,1442,11,682,43,0,0,LinkedIn,1,105.65
2,1997,23963,http://www.powell.com/,https://www.johnson.com/,2024-05-30 23:22:44,Colombia,Safari,Windows,Tablet,6.82,1462,15,3063,46,1,0,Instagram,1,353.51
3,1389,45930,http://www.larson-wright.com/,https://kelly.net/,2024-01-03 12:58:13,Saint Pierre and Miquelon,Edge,Linux,Mobile,8.9,1113,12,986,28,1,0,Twitter,8,338.55
4,352,12788,http://miller.com/,http://www.buchanan.com/,2024-02-28 03:03:50,Fiji,Safari,Mac OS,Mobile,5.57,450,4,1296,7,1,0,Facebook,5,105.98
5,1420,45115,https://www.thompson.com/,http://www.williams-davis.biz/,2024-04-02 12:58:41,Faroe Islands,Chrome,iOS,Desktop,8.5,910,0,2975,36,0,0,Instagram,9,242.53
6,473,95063,http://www.merritt-schmidt.com/,http://www.howard-craig.org/,2024-01-20 01:38:49,Romania,Edge,iOS,Mobile,6.25,1782,11,2275,43,0,0,Twitter,0,234.11
7,981,26361,http://mclaughlin.info/,http://shelton-moore.com/,2024-05-03 13:40:49,Samoa,Opera,Linux,Mobile,9.84,1749,19,1440,4,1,0,Facebook,3,244.61
8,221,19334,https://www.mills.com/,http://www.brooks.com/,2024-04-23 10:38:42,Macedonia,Edge,iOS,Mobile,1.21,876,19,3325,25,0,0,LinkedIn,0,78.34
9,905,73141,http://www.wilson.com/,https://www.chan-clarke.com/,2024-01-27 00:32:29,Burundi,Safari,iOS,Mobile,1.83,292,13,2892,39,0,0,LinkedIn,0,407.25
10,654,66585,http://www.davis-quinn.com/,http://gregory-brown.com/,2024-01-25 16:34:29,Norfolk Island,Opera,Windows,Tablet,6.09,106,19,2373,24,1,1,Twitter,9,273.3
11,197,52368,https://www.clark-velasquez.com/,https://www.shepard.com/,2024-06-28 22:30:22,Cocos (Keeling) Islands,Firefox,iOS,Desktop,2.8,1922,3,2329,6,0,0,Twitter,9,83.07
12,705,88711,https://www.morgan.com/,https://yoder.com/,2024-02-21 05:20:23,Norway,Safari,Linux,Mobile,0.2,820,13,1717,48,1,1,Google,4,265.02
13,820,26345,https://holt-cochran.com/,https://hernandez.biz/,2024-05-30 16:29:03,Liberia,Firefox,iOS,Mobile,7.64,693,2,2607,44,0,1,Instagram,7,206.56
14,3,31771,https://www.good-townsend.com/,https://www.robertson.com/,2024-03-29 23:42:02,Mongolia,Edge,iOS,Desktop,7.0,1810,2,2837,15,0,1,Instagram,0,264.46
